date_of_trip,count
2010-09-30,4002
2010-10-31,35957
2010-11-30,47390
2010-12-31,28248
2011-01-31,37503
2011-02-28,47558
2011-03-31,63195
2011-04-30,93100
2011-05-31,133785
2011-06-30,141743
2011-07-31,139578
2011-08-31,135020
2011-09-30,125901
2011-10-31,122048
2011-11-30,101024
2011-12-31,86312
2012-01-31,95871
2012-02-29,102235
2012-03-31,163211
2012-04-30,172478
2012-05-31,193718
2012-06-30,200636
2012-07-31,201560
2012-08-31,212093
2012-09-30,216264
2012-10-31,196901
2012-11-30,151328
2012-12-31,122616
2013-01-31,124989
2013-02-28,110102
2013-03-31,157366
2013-04-30,236442
2013-05-31,250463
2013-06-30,253767
2013-07-31,268016
2013-08-31,288793
2013-09-30,281937
2013-10-31,254649
2013-11-30,192417
2013-12-31,136600
2014-01-31,112697
2014-02-28,122663
2014-03-31,165762
2014-04-30,269511
2014-05-31,306734
2014-06-30,316574
2014-07-31,327833
2014-08-31,320870
2014-09-30,323936
2014-10-31,297962
2014-11-30,197048
2014-12-31,151560
2015-01-31,127411
2015-02-28,108052
2015-03-31,188256
2015-04-30,318340
2015-05-31,367185
2015-06-30,314293
2015-07-31,364015
2015-08-31,364313
2015-09-30,328038
2015-10-31,290351
2015-11-30,228295
2015-12-31,187357
2016-01-31,123252
2016-02-29,145654
2016-03-31,283493
2016-04-30,285516
2016-05-31,288720
2016-06-30,368097
2016-07-31,366458
2016-08-31,357328
2016-09-30,344408
2016-10-31,343243
2016-11-30,259106
2016-12-31,168719
2017-01-31,174804
2017-02-28,226303
2017-03-31,245403
2017-04-30,365990
2017-05-31,339677
2017-06-30,398751
2017-07-31,397680
2017-08-31,402534
2017-09-30,391371
2017-10-31,384833
2017-11-30,252534
2017-12-31,177897
2018-01-31,168590
2018-02-28,182378
2018-03-31,238998
2018-04-30,328907
2018-05-31,374115
2018-06-30,392338
2018-07-31,404761
2018-08-31,403866
2018-09-30,325800
2018-10-31,343021
2018-11-30,202376
2018-12-31,158853
2019-01-31,150780
2019-02-28,158130
2019-03-31,253811
2019-04-30,347992
2019-05-31,337704
2019-06-30,350144
2019-07-31,356645
